title,description,text,date,language
"Four years on, Telegram’s blockchain project gains ground in Africa","After raising $250 million from a host of mainstream entities such as Huobi, Kucoin and MEXC, TON’s recent global adoption seems to be rapidly increasing.",It was 2018 when privacy-focused messaging platform Telegram announced that it was in the process of building a blockchain-based decentralized computer network technology called The Open Network (TON… [+6761 chars],2022-04-19,en
"Smart Agriculture Market - Technology & Vendor Assessment (Vendor Summary Profiles, Strategies, Capabilities & Product Mapping & Regional Economic Analysis) by MDC Research",The Global Smart Agriculture Market was valued at USD 12.1 billion in 2020 and projected to reach 36.18 Bn by 2030 with a CAGR of 11.9% during the forecast...,"The Global Smart Agriculture Market was valued at USD 12.1 billion in 2020 and projected to reach 36.18 Bn by 2030 with a CAGR of 11.9% during the forecast period 2022 to 2030.
Pune, April 25, 2022 … [+8353 chars]",2022-04-25,en
Bankoff’s Crypto Wallets Nearly Empty After Virtual Debit Card Provider Folds,"The Delaware-registered company said Visa and Stripe cut it off for serving too many Russians, but on-chain data has stoked users' suspicions.","Don't miss CoinDesk's Consensus 2022, the must-attend crypto &amp; blockchain festival experience of the year in Austin, TX this June 9-12.
Bankoff, a Delaware-registered company with operations in … [+6887 chars]",2022-05-05,en
"Bitcoin Investors Have ‘Low’ Financial Knowledge, Bank Study Shows","Canadian bitcoin owners have little financial literacy and are susceptible to high levels of financial risk,  a new Bank of Canada research shows. The Globe and Mail newspaper in Canada reported the study. According to the research paper, despite their in-dep…","Canadian bitcoin owners have little financial literacy and are susceptible to high levels of financial risk,  a new Bank of Canada research shows.
The Globe and Mail newspaper in Canada reported the… [+2845 chars]",2022-04-21,en
"The Metaverse market is expected to reach a value of USD 758,600.86 Million by 2027, at a CAGR of 37.1% (2021 - 2027) - SkyQuest Technology","During the projected period, the global metaverse market is predicted to expand significantly. The rising focus on integrating digital and real worlds via...","SkyQuest Technology Consulting Pvt. Ltd.
During the projected period, the global metaverse market is predicted to expand significantly. The rising focus on integrating digital and real worlds via th… [+9356 chars]",2022-04-20,en
Critique of Techno-Feudal Reason,"Countering current claims that digital capitalism is issuing in a ‘neofeudal’ age, as the rentier barons of Silicon Valley and Wall Street extract non-productive fortunes from their users and debtors, Evgeny Morozov returns to classic debates over the transit…","First the good news. The moratorium on imagining the end of capitalism, noted in the 1990s by Fredric Jameson, has finally expired. The decades-long recession of the progressive imagination is over. … [+82366 chars]",2022-05-07,en
"Cryptocurrency Mining and Equipment Market Size 2022-2028 | Growth, Revenue, Competitive Scenario, Development Status, Regional Segmentation, Key Players, Opportunities, Challenges","Pune, April 12, 2022 (GLOBE NEWSWIRE) -- Part -1 Global Cryptocurrency Mining Market report delivers a complete overview of key components like drivers...","Pune, April 12, 2022 (GLOBE NEWSWIRE) -- Part -1
Global Cryptocurrency Mining Market report delivers a complete overview of key components like drivers, limitations, historic and current trends, tec… [+9115 chars]",2022-04-12,en
"Wellfield Reports Financial Results for the Year Ended December 31, 2021","Wellfield Technologies, Inc. (TSXV: WFLD) (FRANKFURT: K8D) (the ""Company"" or ""Wellfield""), today reported financial results for the year ended December 31...","<ul><li>The Company's common shares and certain warrants began trading on the TSX Venture Exchange (""TSXV"") on November 30, 2021.
</li><li>On March 24, 2022 Wellfield announced the acquisition of Ne… [+7673 chars]",2022-04-26,en
"Proactive news headlines including Core Lithium, Blackstone Minerals, Hillgrove Resources and Perpetual Resources","Sydney, May 03, 2022 (GLOBE NEWSWIRE) -- Proactive, provider of real-time news and video interviews on growth companies listed in Australia, has covered the ...","Sydney, May 03, 2022 (GLOBE NEWSWIRE) -- Proactive, provider of real-time news and video interviews on growth companies listed in Australia, has covered the following companies:<li>Core Lithium Ltd (… [+6381 chars]",2022-05-03,en
Global Digital Health Markets Report 2022-2026 - Artificial Intelligence to Play a Significant Role in Improving Clinical Outcomes,"Dublin, May 09, 2022 (GLOBE NEWSWIRE) -- The ""Digital Health - Global Market Trajectory & Analytics"" report has been added to ResearchAndMarkets.com's...","Dublin, May 09, 2022 (GLOBE NEWSWIRE) -- The ""Digital Health - Global Market Trajectory &amp; Analytics"" report has been added to ResearchAndMarkets.com's offering. 
Global Digital Health Market to … [+8140 chars]",2022-05-09,en
"Au Canada, le populiste qui veut remplacer le dollar par le bitcoin","Pierre Poilièvre, candidat à la direction du Parti conservateur, aimerait faire du pays la capitale mondiale de la blockchain. Il promeut un discours anti-establishment faisant écho aux frustrations exprimées par le mouvement du « convoi de la liberté ».","Pierre Poilièvre, en février 2022. YOUTUBE / WIKIMEDIA
LETTRE DE MONTRÉAL
Juché sur une estrade installée dans le restaurant égyptien Tahinis, dans la ville de London en Ontario, un homme, chawarma… [+2525 chars]",2022-04-21,en
RSE : La pub signe un pacte avec l'écologie,"Afin d'améliorer leur RSE, les entreprises devraient considérer le numérique comme un nouveau terrain d'engagement. À moins qu'elles y soient bientôt contraintes?","S'il est impensable, en 2022, de ne pas évaluer le ROI ""business"" de ses publicités, calculer l'impact environnemental de ses communications numériques ne fait pas encore partie des ""bons gestes"" ado… [+10353 chars]",2022-05-08,en
[ASAP] Intergovernmental Panel on Blue Foods in Support of Sustainable Development and Nutritional Security,Environmental Science & TechnologyDOI: 10.1021/acs.est.2c00119,"Blue foods, including wild or cultivated foods from marine and freshwater systems, have garnered widespread interest from scientists, nutritionists, and policymakers for their potential to contribute… [+14324 chars]",2022-04-13,en
